cluster,unref,deep,orga,blocks,procrastination,perfectionism,innateability,ktransforming,productivity,no,gender,faculty,studentstatus,studylength,writingcourse,monthsamel
3,4,3.5,3.33333333333333,3.33333333333333,3.25,3.66666666666667,1,4,1.25,1,2,2,1,39,2,2
2,2,4.25,3,3.66666666666667,4.25,3.33333333333333,1.5,3.66666666666667,2,2,2,8,1,51,3,2
1,3,3.75,4.33333333333333,3.66666666666667,3.75,3.33333333333333,3,3.66666666666667,1.25,3,2,5,1,3,4, 
1,2,4.25,3.66666666666667,3,2.5,2.66666666666667,1.5,3.33333333333333,2.25,4,2,9,1,3,0,0
3,3,3.25,2.66666666666667,3.66666666666667,4.25,2.33333333333333,2.5,4,2.25,5,2,2,1,15,0, 
1,2.66666666666667,3.5,4,4,3.5,2.33333333333333,2,3.33333333333333,2.5,6,2,6,1,3,11,2
2,1,4.25,2.33333333333333,2.66666666666667,3.5,4,2,2,3,7,2,4,1,3,0,4
2,2.33333333333333,4.25,3.33333333333333,2.33333333333333,4.25,2.66666666666667,1,4.33333333333333,2.25,8,2,4,1,3,0, 
1,3,4,4,3.33333333333333,3.25,3,2.5,4,2.25,9,2,4,1,3,44,3
3,3.66666666666667,4,3.66666666666667,2.66666666666667,2.5,3.33333333333333,1,4.33333333333333,3.75,10,2,9,3,3,35,2
 ,1.66666666666667, ,5,2.33333333333333,2.5,1.33333333333333,1,4.33333333333333,3.25,11,2,9,3,75,0,8
2,3.33333333333333,4.25,3.33333333333333,2.66666666666667,2.5,3,1,5,2.25,12,2,2,1,3,0,1
2,2.33333333333333,4.75,3,3.66666666666667,4.75,3.66666666666667,1,4.66666666666667,2.25,13,2,2,3,15,4,18
1,2.66666666666667,4.5,4.66666666666667,2.66666666666667,1.75,2.66666666666667,3.5,3.33333333333333,3.5,14,2,9,4,15,0,10
1,1.33333333333333,5,4,4,4,1.66666666666667,1,4.66666666666667,1.25,15,1,8,4,15,0, 
2,2,4.75,3,2,3.75,1.33333333333333,1,5,1.75,16,1,1,4,27,4,0
3,2.66666666666667,2.75,3,2.66666666666667,4.25,4.33333333333333,1.5,4.66666666666667,2.25,17,1,10,2,27,0,0
3,3,3.5,1.33333333333333,3.33333333333333,5,4.33333333333333,3,4,2.25,18, ,2,3,63,0, 
2,1.33333333333333,4.5,2.66666666666667,3,4.25,3,1,5,1.5,19,2,2,2,15,4,22
1,1.66666666666667,4,3.66666666666667,2.33333333333333,2.5,2,2.5,4,4,20,2,2,1,15,28,0
1,2,4,3.66666666666667,2.33333333333333,2.5,1.66666666666667,1.5,4,2.5,21,1,1,4,27,3,24
 ,3.33333333333333, ,4,3,3.25,3,4,4.66666666666667,2.25,22,2,2,3,63,0, 
3,3.66666666666667,3.25,2.33333333333333,3.33333333333333,3.75,3,2.5,3.33333333333333,1.75,23,1,9,3,15,0,7
1,1.66666666666667,4.5,4.33333333333333,1.66666666666667,3,2,2,3.66666666666667,2,24,2,5,1,15,0,6
1,1.33333333333333,4,4.66666666666667,1.33333333333333,1.75,3,3.5,3.66666666666667,4.75,25,2,5,1,15,0,9
1,1,4.75,4.33333333333333,2.33333333333333,2.25,2.33333333333333,1,5,3.25,26,1,7,1,3,0, 
1,1.33333333333333,4.25,4,2.66666666666667,4,2,2,4,1.5,27,2,2,3,15,0, 
2,1.33333333333333,4.5,2.33333333333333,2.33333333333333,4.25,3.66666666666667,1.5,4.33333333333333,1.5,28,2,10,1,99,24, 
1,1.66666666666667,4,4.33333333333333,3.33333333333333,2.25,2.66666666666667,2,3.33333333333333,1.75,29,2,8,3,99,74,7
3,5,1,1,5,5,2.33333333333333,1,3.66666666666667,1,30,1,1,1,3,1,88
2,1.66666666666667,4,2.66666666666667,2.66666666666667,3,2,1,4,1.75,31,1,7,3,39,0,20
2,3,4.5,2.33333333333333,1,4.25,1.33333333333333,3,4.33333333333333,1.25,32,1,8,4,16,1,88
1,2,4.75,4,1.33333333333333,1.25,1.66666666666667,1.5,5,3.25,33,2,3,4,16,2,88
1,2,3,4,2.33333333333333,2.5,2.33333333333333,1.5,4.33333333333333,2,34,2,9,4,16,4,88
2,3,4,3.33333333333333,3.33333333333333,4.5,2.33333333333333,1,4.66666666666667,2.25,35,2,1,3,2,4,2
3,3.66666666666667,2.25,2,4,3.5,4,4,1.33333333333333,3.75,36,2,3,3,3,6,10
2,2,4,2.33333333333333,2,2.75,1.66666666666667,1,3.33333333333333,2.25,37,1,3,2,36,0,4
1,1.66666666666667,4.5,4,2.33333333333333,2.5,1.33333333333333,1,4.66666666666667,3.5,38,2,3,4,28,0,2
1,1.33333333333333,3.75,5,2.66666666666667,3.75,2,1,2.66666666666667,3.25,39,2,1,4,28,2,48
1,1.33333333333333,3.75,4.33333333333333,2.33333333333333,2.5,2,1.5,4,3.25,40,2,1,4,28,2,0
3,2.33333333333333,3,1.66666666666667,3.66666666666667,4.25,3.33333333333333,1,2.66666666666667,1.25,41,2,2,3,5,2,42
1,3,4.75,5,2.33333333333333,1.5,2,1,5,2.5,42,1,2,4,29,40,99
1,1,4,4.33333333333333,2.33333333333333,4,1,1,4,2.5,43,1,8,4,17,5,80
3,3.33333333333333,3.25,2.33333333333333,3.33333333333333,4.25,2.66666666666667,4,3,1.75,44,2,1,3,4,0,48
2,1.66666666666667,4.5,3.33333333333333,3.33333333333333,3.5,2.33333333333333,2,4.33333333333333,3.25,45,2,8,4,28,4,30
1,2,3.75,4.66666666666667,3.33333333333333,1.75,4,3,5,2.75,46,1,8,4,17,6,15
2,1,3.75,3,1.66666666666667,3.25,2.33333333333333,1,4,1.25,47,1,8,4,16,4,15
2,2,4,1.66666666666667,2,2.75,2,1,4,2,48,1,5,1,4,12,18
1,1.33333333333333,4.5,3.66666666666667,2.66666666666667,3.25,3.33333333333333,2,4,2.25,49,2,12,2,5,4,50
1,1.33333333333333,4.75,4,4,3,4,1,4,2,50,2,3,4,5,0,0
3,3,3.25,3,3.66666666666667,3.25,2.66666666666667,2.5,4.66666666666667,1.5,51,2,1,4,5,6,4
1,1.66666666666667,4.5,5,1,4,2,1,5,3.75,52,2,6,4,28,3,0
1,2.66666666666667,4,4.66666666666667,2.66666666666667,2.75,2.66666666666667,1,5,3,53,1,5,3,4,4,0
1,1.66666666666667,4.75,4.66666666666667,1,1,1,2,4.66666666666667,3.25,54,1,8,4,4,0,0
1,2,4,4,2.33333333333333,3.25,2,1.5,4,1.5,55,2,9,4,5,5,0
2,2,4.5,2,2,2.5,1.66666666666667,1,5,1.25,56,1,2,2,4,3,13
1,2,4.5,4,2,2.75,2.33333333333333,2.5,4,2.75,57,2,3,4,16,4,17
2,2.66666666666667,4,2.66666666666667,3,3.5,1.33333333333333,1.5,4.66666666666667,3,58,2,3,4,16,2,6
2,2.33333333333333,4.5,2.66666666666667,2.33333333333333,4.5,2.66666666666667,1,3.33333333333333,1.25,59,1,5,4,16,20,15
3,3.66666666666667,2,1.33333333333333,3,3.25,3.33333333333333,1,5,2,60,1,8,4,53,6,36
2,1,4.75,3,2.33333333333333,3.25,2.66666666666667,1,4.33333333333333,2,61,2,6,2,5,1,24
3,3.66666666666667,3.25,3.33333333333333,3,2,3.33333333333333,3,4,3.25,62,2,4,2,4,77,4
1,1,5,4.33333333333333,1.66666666666667,3,1.33333333333333,2,5,4,63,2,5,3,6,55,9
1,2,4.25,4.33333333333333,1.33333333333333,2.75,2.66666666666667,2.5,4,3,64,2,8,4,6,2,0
3,3,3.75,3.66666666666667,4,5,2.66666666666667,3,4.33333333333333,1.25,65,2,5,4,30,4,18
1,1.33333333333333,4.25,3.66666666666667,2,3.5,3,1,3.33333333333333,2.25,66,2,9,4,5,5,4
2,3.33333333333333,4.25,3,3,4.5,3,1,4.33333333333333,2.75,67,1,1,4,5,6,48
3,3.33333333333333,3.5,2.33333333333333,2.66666666666667,5,3.66666666666667,1,3.33333333333333,2,68,2,9,4,5,4,18
1,2,4.75,4.33333333333333,3.33333333333333,3.25,2.33333333333333,1.5,4.66666666666667,4.25,69,2,1,1,30,0,6
1,1,4.5,5,2.33333333333333,2,2,3,4,2.5,70,1,9,4,29,0,0
2,1.33333333333333,4,1,2.33333333333333,4.25,3,2,4.66666666666667,4,71,2,1,4,5,2,5
2,2,3.5,3.33333333333333,2.66666666666667,2.75,2,2.5,3.33333333333333,2.25,72,2,8,4,30,18,0
1,2.66666666666667,4.5,4.33333333333333,4.66666666666667,4.5,4.33333333333333,3.5,4.33333333333333,1.75,73,2,9,1,5,0,20
1,1.33333333333333,4.75,5,2.33333333333333,2,2,1,4,2.5,74,1,8,4,5,91,14
1,2.33333333333333,3.75,3.66666666666667,3.66666666666667,3.5,3.66666666666667,2,4.33333333333333,2.75,75,1,9,4,54,50,2
3,3.66666666666667,3.5,2.66666666666667,3.33333333333333,3.75,3.66666666666667,2,4.33333333333333,1,76,2,9,4,31,0,29
1,1,4.25,4.66666666666667,2,1.75,2,1,5,4.5,77,2,9,4,7,4,36
1,1.33333333333333,5,4.33333333333333,2.33333333333333,4.5,3.33333333333333,1,3.66666666666667,1.5,78,2,9,4,7,8,4
1,2.66666666666667,3,5,2.66666666666667,3.5,1.33333333333333,1,4.33333333333333,3,79,2,9,4,7,4,0
2,2.33333333333333,5,2,2.66666666666667,3.5,3.33333333333333,2,4,2.5,80,1,2,4,44,2,40
2,1.33333333333333,3.5,3,1.66666666666667,2.5,1,1,3.33333333333333,1.75,81,2,2,4,2,0, 
2,1.66666666666667,3.75,2.33333333333333,3,3.5,3,1,4,2,82,2,11,4,3,4,2
1,3.33333333333333,3.75,4.33333333333333,4.33333333333333,2.5,3.66666666666667,3,3.33333333333333,2.25,83,2,11,4,3,0,48
1,1.33333333333333,4.75,5,1.33333333333333,1.75,1.66666666666667,2.5,4.33333333333333,4.25,84,2,2,3,14,12,0
2,2.66666666666667,4.5,3,3.66666666666667,4.25,2.33333333333333,2.5,5,3.5,85,1,2,3,3,5,2
1,1.33333333333333,3.75,4.33333333333333,1.33333333333333,1.5,1.66666666666667,1,4,3.25,86,2,2,3,2,3,70
1,3,4.25,3.66666666666667,3.33333333333333,3,3,2.5,4,3.5,87,2,2,3,14,9,12
1,2,4,4,2.66666666666667,3,2.33333333333333,2,4,3.25,88,2,2,4,2,13,60
2,1.33333333333333,4.75,2.33333333333333,1,1.25,1,1,5,4.5,89,2,2,4,3,0,45
1,2.66666666666667,4.25,4,3,2.5,2.66666666666667,1,4.66666666666667,3,90,2,6,4,14,9,94
2,1,4.75,3,3,4.25,2.33333333333333,3,4.66666666666667,3.75,91,1,6,4,15,3,12
3,4,2.5,3,2,4.25,2,2,5,2,92,1,6,4,15,2,0
2,2,4.25,3,1.33333333333333,1.75,1.33333333333333,1,4.33333333333333,3.5,93,2,6,4,15,9,40
2,2,3.5,3.33333333333333,2.66666666666667,3.25,2.66666666666667,1,3.66666666666667,2.75,94,2,6,4,14,7,13
2,2,4,2.66666666666667,3.66666666666667,5,2.33333333333333,2,4,1.25,95,2,6,4,74,2,1
2,1.66666666666667,4.75,2.33333333333333,1.33333333333333,3.25,1,3,4.66666666666667,3.25,96,1,6,2,39,5,1
2,2,3.75,3.33333333333333,3.33333333333333,3.75,3,2,3.33333333333333,2.25,97,2,6,4,3,2,270
1,2,4,4.33333333333333,3.66666666666667,2.25,4,1.5,4,2.25,98,1,6,4,3,2,2
1,2,4.75,4,1.33333333333333,1.25,2.33333333333333,3,4.33333333333333,3.25,99,2,6,4,2,1,48
1,2,3.5,4,2.66666666666667,3,2.33333333333333,1,3.66666666666667,2.75,100,2,6,4,2,5,48
2,2.33333333333333,4,2.66666666666667,2.66666666666667,3.75,4,1.5,3.66666666666667,2.5,101,2,6,4,3,4,3
2,3,4.5,3,3.66666666666667,2.75,2.66666666666667,1,4,2.5,102,1,6,4,3,3,0
1,2,3.75,4,3.33333333333333,3.75,1.66666666666667,1,4.66666666666667,1,103,2,6,4,14,6,0
2,2.33333333333333,3.75,3.33333333333333,2.66666666666667,3.5,2.33333333333333,1,3,2.75,104,2,9,4,3,3,0
3,2.66666666666667,3,3,3.33333333333333,3,3,2,4,3.5,105,2,3,4,3,4,20
1,1.66666666666667,5,3.66666666666667,1.33333333333333,2,1,1,4.33333333333333,2.5,106,2,3,4,40,22,0
1,3,4.25,4.33333333333333,2.66666666666667,3.75,2.33333333333333,1,3,2.5,107,2,3,4,15,18,27
3,2,3,3,1.66666666666667,3.5,2,3.5,4.66666666666667,2.25,108,1,3,4,4,2,12
3,2.33333333333333,3.25,3,2.33333333333333,2.75,1.66666666666667,1,4,2.5,109,2,3,4,52,0,0
2,1.66666666666667,3.75,3.33333333333333,3,3,1.33333333333333,1,4,3.5,110,1,1,4,39,9,0
3,3.33333333333333,3.25,3,2,2.75,3,2,4,2.75,111,2,3,4,15,12,5
2,2.33333333333333,4.25,3.33333333333333,2,2.25,2,1,5,3.25,112,1,9,4,15,1,9
2,2,4.25,3,3,3.5,2,2,4,1.5,113,2,9,4,52,0,0
1,2.33333333333333,4,4,3,2.75,3,3,4.33333333333333,2,114,2,3,4,63,1,0
2,2,4.25,3.33333333333333,1.33333333333333,3,2,1,4.33333333333333,3.25,115,2,3,4,172,0,20
2,2,3.5,2.33333333333333,1.66666666666667,4.25,2,1.5,3.66666666666667,3,116,2,1,4,40,11,2
2,2.33333333333333,5,3,1.33333333333333,3.25,3,1.5,4,3.25,117,2,3,2,40,2,0
1,1.66666666666667,3.5,3.66666666666667,1.33333333333333,3.25,2,1,4.33333333333333,1.75,118,1,3,2,40,0,0
2,2.33333333333333,3.75,2.33333333333333,3.33333333333333,2.25,1.33333333333333,1,3,1.25,119,1,3,4,51,1, 
3,2.66666666666667,3.75,1.66666666666667,4,4.75,3.66666666666667,2,3.33333333333333,1.75,120,2,1,4,56,3,18
3,2.33333333333333,3.25,2.66666666666667,3.66666666666667,4,2,3.5,2,1.25,121,2,3,4,55,2,2
1,1.66666666666667,4,3.66666666666667,2.66666666666667,3.25,3.33333333333333,1,3.66666666666667,1.75,122,2,1,4,68,4, 
1,2.33333333333333,4,4,1.66666666666667,2.5,2,1,5,2.5,123,2,3,4,44,2,1
3,3.66666666666667,3.25,3.33333333333333,2,4.25,4,1,4.33333333333333,1.5,124,2,3,4,69,1,0
3,4.33333333333333,4,3.66666666666667,2.66666666666667,3.25,1.33333333333333,1,5,3.5,125,2,3,4,57,0,8
3,3.33333333333333,3,3,3.33333333333333,4,3.66666666666667,1.5,4.66666666666667,2.5,126,1,1,4,99,1,6
2,2,3.75,2.33333333333333,3,3.75,5,1,4.66666666666667,2.75,127,2,3,4,10,0,0
2,1,3.25,3.33333333333333,1,2.75,1,3,4.66666666666667,3.5,128,2,9,4,57,18,24
2,2,3.5,3,4.33333333333333,4.5,2.66666666666667,1,2.66666666666667,2.25,129,2,3,4,45,5,0
3,3,3.5,2.33333333333333,3,3.25,2.66666666666667,2,4,1.75,130,2,1,4,57,2,0
3,3,2.75,3.66666666666667,1.33333333333333,1.75,2.33333333333333,1,4,2.75,131,2,3,4,57,4,0
2,1,5,1,3.66666666666667,4,1.66666666666667,1,4.33333333333333,1,132,1,3,4,49,6,6
1,2,3.5,4,2,3,2,2,4.33333333333333,2,133,2,9,4,17,7,120
1,2.33333333333333,4.25,5,3,2.5,4,1,4.66666666666667,2.75,134,2,9,4,22,2,200
1,2.33333333333333,3.5,4.33333333333333,1.33333333333333,2.5,1.66666666666667,1.5,4.33333333333333,4,135,1,9,4,9,3,0
1,1.33333333333333,5,4.66666666666667,3,2.5,1.33333333333333,1,5,4.5,136,1,9,4,22,10,200
1,2.33333333333333,3.25,4.33333333333333,3.66666666666667,3.75,2.66666666666667,1,4,2.25,137,2,9,4,46,5,0
3,3.33333333333333,4,2,2.66666666666667,4.25,3.33333333333333,1,3.66666666666667,2.25,138,2,9,4,21,6,0
3,3,3.75,2.33333333333333,1,2.75,1.66666666666667,1,4.33333333333333,3.75,139,2,2,4,9,17,226
2,2.33333333333333,4.5,3.33333333333333,1.33333333333333,2.75,1.33333333333333,2.5,4.66666666666667,2.75,140,2,2,4,10,2,84
1,1,4.5,3.66666666666667,2,2.25,2,2,4,3.25,141,2,2,4,10,3,108
2,2,4.25,2.33333333333333,2.33333333333333,3,1.33333333333333,1,3.33333333333333,2,142,1,2,4,9,2,60
3,4,4.25,2.33333333333333,4,4.5,2.33333333333333,3,3,2,143,2,2,4,9,2,36
2,2,4.75,2,3.33333333333333,3.75,1.66666666666667,1,4.66666666666667,2,144,2,9,4,9,1,5
1,2,4.25,4.33333333333333,3,2.75,2.33333333333333,2,3,3,145,1,9,4,10,5,5
1,1.66666666666667,4.75,3.66666666666667,2,2,4,1,4,2.25,146,2,9,3,5,53,5
2,1,4,2.66666666666667, , , , , , ,147,2,6, ,5,0,0
1,2,4.25,4,1.33333333333333,2.5,1.66666666666667,1,4,4.25,148,2,2,1,5,2,39
1,1,4.5,4,1.66666666666667,3.25,2,1,4,1.5,149,2,6,4,5,0, 
1,1,4,3.66666666666667,2,1.75,3.33333333333333,1,4.66666666666667,3.5,150,2,4,4,5,0,2
2,1,4.75,2.66666666666667,4.33333333333333,4.75,3.66666666666667,3,3.33333333333333,1,151,2,4,3,5,0,84
2,2,4.5,3,4.66666666666667,3.25,4.66666666666667,1,4.33333333333333,2.75,152,2,4,3,5,0,0
3,3,3,2.66666666666667,3.33333333333333,2.75,3,2,3,2.5,153,2,2,1,5,0,0
3,3.66666666666667,3.5,2,3.33333333333333,4.25,2.66666666666667,2,4,2,154,2,3,1,5,3,156
2,1,3.5,3,1.66666666666667,3,1.66666666666667,1,4.66666666666667,2,155,1,1,3,5,2,0
1,2.66666666666667,4.5,4,1.33333333333333,1.75,2.66666666666667,2.5,5,3.75,156,2,3,1,4,6,2
2,2.33333333333333,4.25,3,3.33333333333333,3.5,3,3,3.66666666666667,1.25,157,2,9,1,5,7,3
2,2,4.25,3.33333333333333,4.66666666666667,4.75,4.66666666666667,5,3.33333333333333,1.5,158,2,9,3,5,1,28
2,1.66666666666667,4.25,3,2.66666666666667,5,4,3,4.33333333333333,1.25,159,1,9,3,17,3,5
2,2,4,2.66666666666667,2.33333333333333,3.5,3,2,3.33333333333333,2.5,160,2,9,3,5,4,3
1,1.33333333333333,3.5,4,3,3,4,1,4,3,161,2,3,3,5,10, 
2,2,3.5,2.66666666666667,3.66666666666667,4.75,3,2,3,2,162,1,5,3,5,3,0
2,2,4,2.66666666666667,4,4.25,3.33333333333333,3.5,3.66666666666667,2,163,2,1,3,53,9,52
2,1.66666666666667,4.25,3.33333333333333,2.33333333333333,2.5,2,1,3.33333333333333,2,164,2,8,1,5,3,0
 , ,3.75,3.66666666666667,2.66666666666667,3.5,2.66666666666667,2,3.66666666666667,2,165,1,8,1,5,28,53
3,2.66666666666667,2.5,2.66666666666667, ,2.75,2,1, , ,166,2,8,3,5,0,6
2,2,3.25,2.33333333333333,2.66666666666667,3,2.33333333333333,1.5,3.33333333333333,2.5,167,2,9,4,9,13,115
1,2.33333333333333,4,4,3,3,2.33333333333333,2,4,2.5,168,2,9,4,11,0,156
2,3,4,3,2.66666666666667,3.5,3,2,3.33333333333333,2.25,169,2,9,4,10,0,68
3,3,3.75,3.33333333333333,3,4,2,1,4,2.25,170,2,9,4,70,1,24
3,3.33333333333333,3.25,3.33333333333333,4.33333333333333,3.5,4,2.5,3.33333333333333,2,171,2,9,4,9,0, 
1,2.66666666666667,4.75,5,3.33333333333333,4.25,2.66666666666667,1,5,3,172,2,9,4,9,0,48
3,3.66666666666667,3.5,3,3.33333333333333,3.5,3.66666666666667,3,4.33333333333333, ,173,2,9,4,9,0, 
2,2,4.25,2.66666666666667,2,2.5,2.33333333333333,1,4.66666666666667,3.75,174,2,8,3,5,0,0
1,1,4.5,5,3,2,1,1,5,3.5,175,2,4,3,33,1,48
1,2.33333333333333,3.75,4,2.33333333333333,2.5,4,2,3.66666666666667,2.75,176,2,4,1,9,0,0
1,1.66666666666667,4.5,4.33333333333333,1.66666666666667,3,2.66666666666667,2,4.66666666666667,3.75,177,2,4,3,17,4,9
1,1.33333333333333,5,5,1,1,1,2,5,3,178,1,2,4,9,2,24
3,2.66666666666667,3.5,2.66666666666667,2.66666666666667,3.25,3.66666666666667,3.5,4.66666666666667,1.25,179,1,1,4,9,4,1
2,2.66666666666667,4.25,1.33333333333333,2,1.75,4,1,4.33333333333333,1,180,1,8,2,22,24,122
1,1.33333333333333,4.25,4.33333333333333,1.33333333333333,3.5,1.66666666666667,1,4,2.25,181,2,8,4,9,42,2
2,2,3.5,3.33333333333333,1.66666666666667,1.75,2.33333333333333,2,4.33333333333333,3,182,1,8,2,21,1,0
1,1,4.75,4.33333333333333,2.33333333333333,3,2.33333333333333,1,5,1.25,183,2,99,2,22,0,50
1,2,4.5,4.66666666666667,2,2.5,2.33333333333333,1,3,3.25,184,2,8,4,22,5,100
2,2.33333333333333,4.25,2.66666666666667,2,2,2,1,4,2.25,185,1,8,2,22,15,150
1,4.33333333333333,5,4,2.33333333333333,4.75,3.33333333333333,3,3.66666666666667,3.5,186,1,9,4,22,24,0
3,4.66666666666667,2.25,1.33333333333333,5,4.5,5,4.5,1,2.75,187,1,2,1,6,13,40
1,1.33333333333333,4.5,4.33333333333333,2.33333333333333,3.25,1.33333333333333,1,4,1.5,188,1,8,1,27,3,1
1,2,3.75,3.66666666666667,1.66666666666667,2,2.33333333333333,1,4.66666666666667,3.5,189,2,8,3,57,0,0
2,1.66666666666667,3.5,2.66666666666667,3.66666666666667,3.75,2.33333333333333,1,4,2,190,1,9,1,6,0,2
1,2,3.5,3.66666666666667,2.66666666666667,3.25,3,2.5,3.66666666666667,2.25,191,2,6,1,9,4,24
1,2,4,4.33333333333333,2.33333333333333,2.5,2,2,3.33333333333333,2.75,192,2,8,3,45,0,30
1,1.33333333333333,4.5,3.66666666666667,2.33333333333333,4,2,2.5,5,3,193,2,2,1,99,0,0
2,1.66666666666667,4,3.33333333333333,3,3.5,3.66666666666667,2.5,4,1.5,194,2,6,3,57,0,0
1,1.66666666666667,4.25,4,1,2,1,2,3.66666666666667,3.75,195,1,2,4,9,2,3
2,2.33333333333333,3.75,3.33333333333333,1.66666666666667,3.25,2.33333333333333,2,3.66666666666667,2.75,196,1,1,3,69,12,14
1,1.66666666666667,4,4,2.66666666666667,3.25,3.33333333333333,2.5,4,3.25,197,2,4,1,9,20,16
2,1.66666666666667,3.75,1.66666666666667,2.33333333333333,3.75,1.33333333333333,2,3.66666666666667,2.5,198,2,9,1,33,2,15
1,1.66666666666667,4,4.33333333333333,3.33333333333333,3,4,3,3.33333333333333,2.75,199,2,1,3,99,2,36
1,1.66666666666667,5,4.33333333333333,1.66666666666667,3,1.33333333333333,2,5,1.75,200,2,9,1,6,0,14
1,2.66666666666667,4,3.66666666666667,3,3.75,2.66666666666667,2.5,4.33333333333333,1.75,201,1,9,1,9,20,9
2,1,4,3,3,3.75,1.66666666666667,1,5,4,202,2,4,1,17,10,5
1,1.66666666666667,4.75,4.33333333333333,4.33333333333333,5,4,2,3.66666666666667,1.25,203,2,9,3,17,1,0
1,2,4,4,3,2.5,3,2,4,3,204,2,1,4,10,6,5
2,2.66666666666667,4,1,3.66666666666667,4.75,2.33333333333333,1,4.66666666666667,2.25,205,2,1,4,22,1,22
1,1,4,4.66666666666667,3.33333333333333,3.75,4,4,4,3.75,206,2,1,4,9,15,0
1,1.33333333333333,4,5,1.66666666666667,2.25,1,1,2.66666666666667,1.75,207,2,3,4,10,15,0
3,2.66666666666667,3,2.66666666666667,4.66666666666667,4.5,2.66666666666667,2,4,1,208,2,2,4,46,33,0
2,2.66666666666667,4.25,2,1.66666666666667,1.25,1,3,4.33333333333333,3.25,209,2,8,4,10,5,192
1,2.33333333333333,5,4.33333333333333,1.66666666666667,3.5,2,1,2.66666666666667,2.25,210,2,9,4,21,9,24
1,2.33333333333333,4,4.33333333333333,2.66666666666667,4,3.33333333333333,2,3.66666666666667,1.5,211,2,8,4,9,1,0
2,3,4.5,3.33333333333333,4,4.75,4,2,4,1.75,212,2,8,4,10,0,28
1,1.66666666666667,3.25,5,3,3.25,2.33333333333333,1,3.33333333333333,2.25,213,2,9,4,9,26,31
2,2.33333333333333,3.75,3.33333333333333,2.33333333333333,2.75,3,2,3.66666666666667,2.25,214,1,3,3,16,0,4
1,1.66666666666667,3.5,4,4,3.5,3.66666666666667,3,4,1.5,215,2,1,4,10,0,9
2,2.66666666666667,4,3,3,3.75,2.66666666666667,2,4,2.75,216,1,3,4,81,4,6
2,1.33333333333333,4.75,3.33333333333333,3,4,3.33333333333333,2,4.33333333333333,2.5,217,2,2,4,10,0,10
1,2,4,4,2.33333333333333,2.5,1.66666666666667,2,5,3.25,218,1,1,4,34,4,36
